847	1
848	1
849	1
850	1
851	1
852	1
853	1
854	1
855	1
856	1
857	1
858	4
859	1
860	1
861	1
862	1
863	26
864	1
865	1
866	1
867	1
868	1
869	1
870	1
871	1
872	1
873	1
874	1
875	1
876	1
877	1
878	1
879	1
880	1
881	1
882	1
883	1
884	1
885	1
886	1
887	1
888	1
889	1
890	1
891	1
892	1
893	1
894	1
895	1
896	1
897	1
898	1
899	1
900	1
901	1
902	1
903	1
904	1
905	1
906	1
907	1
908	1
909	1
910	1
911	1
912	1
913	1
914	1
915	1
916	1
917	1
918	1
919	1
920	1
921	1
922	1
923	1
924	1
925	1
926	1
927	1
928	1
929	1
930	1
931	1
932	1
933	1
934	0
935	0
936	1
937	0
938	1
939	1
940	1
941	1
942	1
943	1
944	0
945	1
946	1
947	1
948	1
949	1
950	1
951	1
952	1
953	0
954	1
955	1
956	1
957	1
958	1
959	1
960	1
961	1
962	1
963	1
964	1
965	1
966	0
967	1
968	1
969	1
970	1
971	1
972	1
973	0
974	1
975	1
976	1
977	1
978	1
979	0
980	0
981	1
982	1
983	1
984	1
985	1
986	1
987	0
988	0
989	1
990	1
991	1
992	1
993	1
994	1
995	0
996	1
997	1
998	1
999	1
1000	1
